,pixel count,update rate,iterations,kernel size,time rate,detection rate
0,5,5,1,7,51.76396608352661,17.731550272412086
1,5,5,1,9,49.0519700050354,31.996037642397226
2,5,5,1,11,52.02630639076233,47.25111441307578
3,5,5,1,13,73.80252289772034,56.364536899455175
4,5,5,1,15,75.60295128822327,55.225359088657754
5,5,5,1,17,76.53943014144897,50.9162951956414
6,5,5,1,19,79.19363164901733,50.123823675086676
7,5,5,2,7,48.64837694168091,55.72065378900446
8,5,5,2,9,51.64828562736511,50.56958890539871
9,5,5,2,11,71.44564437866211,45.41852402179297
10,5,5,2,13,74.81159138679504,37.79098563645369
11,5,5,2,15,75.80780005455017,30.65874195146112
12,5,5,2,17,79.41797304153442,26.300148588410103
13,5,5,2,19,85.88021540641785,10.698365527488855
14,5,10,1,7,41.12649154663086,7.627538385339277
15,5,10,1,9,41.904995918273926,22.88261515601783
16,5,10,1,11,53.22160887718201,42.00099058940069
17,5,10,1,13,66.42561888694763,53.888063397721645
18,5,10,1,15,67.05760765075684,54.928182268449724
19,5,10,1,17,69.38843894004822,51.21347201584943
20,5,10,1,19,71.95153570175171,50.27241208519069
21,5,10,2,7,41.751246213912964,53.04606240713225
22,5,10,2,9,47.51037549972534,50.86676572560673
23,5,10,2,11,64.38183403015137,46.161466072313026
24,5,10,2,13,65.80200529098511,38.63298662704309
25,5,10,2,15,69.03020477294922,31.352154531946507
26,5,10,2,17,71.97616696357727,26.498266468548785
27,5,10,2,19,79.9046061038971,10.698365527488855
28,5,15,1,7,38.51451873779297,6.33977216443784
29,5,15,1,9,39.4051833152771,19.61367013372957
30,5,15,1,11,50.63127541542053,36.20604259534423
31,5,15,1,13,63.63914227485657,52.30312035661218
32,5,15,1,15,64.5875551700592,51.21347201584943
33,5,15,1,17,66.82210755348206,52.9470034670629
34,5,15,1,19,69.18428587913513,51.312530955918774
35,5,15,2,7,38.86743211746216,51.6097077761268
36,5,15,2,9,43.47373962402344,52.550767706785535
37,5,15,2,11,62.93897557258606,45.91381872213967
38,5,15,2,13,63.941479206085205,38.335809806835066
39,5,15,2,15,66.42669606208801,31.203566121842496
40,5,15,2,17,69.2359139919281,26.54779593858346
41,5,15,2,19,76.80228352546692,10.698365527488855
42,5,20,1,7,36.818835973739624,6.438831104507182
43,5,20,1,9,38.17627573013306,20.307082714214957
44,5,20,1,11,49.0194730758667,33.53145121347202
45,5,20,1,13,62.142701625823975,53.04606240713225
46,5,20,1,15,62.93477916717529,55.473006438831106
47,5,20,1,17,65.03354263305664,53.14512134720159
48,5,20,1,19,67.56018471717834,51.21347201584943
49,5,20,2,7,37.1894896030426,51.461119366022785
50,5,20,2,9,42.84045910835266,52.69935611688955
51,5,20,2,11,61.78280305862427,45.81475978207033
52,5,20,2,13,62.76438069343567,38.187221396731054
53,5,20,2,15,64.74188113212585,31.154036651807825
54,5,20,2,17,67.76580023765564,26.54779593858346
55,5,20,2,19,73.88328194618225,10.698365527488855
56,5,25,1,7,35.901182651519775,5.943536404160476
57,5,25,1,9,37.269264459609985,20.950965824665676
58,5,25,1,11,48.50202536582947,33.333333333333336
59,5,25,1,13,61.50554132461548,50.56958890539871
